bar_type|clamp_size|lever_color|hood_color|id|frame_serial|production_year|manufacturer|component_group|model_name|stamped_codes|style|features|material|weight_spec_g|weight_actual_g|purchase_date|purchase_price|value_low_usd|value_avg_usd|value_high_usd
drop|24|dark grey|white||N0D5258||Shimano|600 Tricolor|BL-6401||aero||{“levers”: “aluminum”, “body”: “aluminum”}|264||2019-06-29||12.5|36.62|71.89
drop|24|silver|||SD305057||Dia Compe||Regular||||{“levers”: “aluminum”, “body”: “aluminum”}||173.2|2024-02-01||||
